"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"9","Left 4 Dead","Nov 17, 2008","$9.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","00:00 (00:00)","Valve","Valve"
"13","The Witcher: Enhanced Edition Director's Cut","Sep 19, 2008","$9.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","06:37 (13:02)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"20","SPORE","Dec 19, 2008","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","03:26 (05:06)","Maxis™","Electronic Arts"
"25","Call of Duty: World at War","Nov 18, 2008","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Treyarch","Activision"
"62","Bully: Scholarship Edition","Oct 21, 2008","$14.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Rockstar New England","Rockstar Games"
"114","TrackMania Nations Forever","Apr 16, 2008","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:04 (00:02)","Nadeo","Ubisoft"
"2","Crysis","Sep 17, 2008","$29.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","00:00 (00:00)","Crytek","Electronic Arts"
"3","Fallout 3","Oct 28, 2008","$9.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","12:10 (12:09)","Bethesda Game Studios","Bethesda Softworks"
"5","World of Goo","Oct 13, 2008","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","2D BOY","2D BOY"
"7","Far Cry","Apr 1, 2008","$2.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","00:19 (00:09)","Crytek Studios","Ubisoft"
"8","Mass Effect (2007)","Dec 19, 2008","$29.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"17","AudioSurf","Feb 15, 2008","$9.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Dylan Fitterer",""
"18","Far Cry 2","Oct 22, 2008","$9.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:27 (00:13)","Ubisoft Montreal","Ubisoft"
