"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"30","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","10:00 (04:07)","Re-Logic","Re-Logic"
"1","Portal 2","Apr 18, 2011","$9.99","N/A (N/A/95%)","10,000,000 .. 20,000,000","02:11 (01:37)","Valve","Valve"
"2","The Elder Scrolls V: Skyrim","Nov 10, 2011","$19.99","N/A (N/A/94%)","5,000,000 .. 10,000,000","04:21 (06:30)","Bethesda Game Studios","Bethesda Softworks"
"18","STAR WARS: The Old Republic","Dec 20, 2011","Free","N/A (N/A/85%)","5,000,000 .. 10,000,000","21:24 (26:36)","Broadsword","Electronic Arts"
"176","APB Reloaded","Dec 6, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Reloaded Productions","Little Orbit"
"177","No More Room in Hell","Oct 31, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:15 (00:45)","No More Room in Hell Team","Lever Games"
"5","Total War: SHOGUN 2","Mar 15, 2011","$29.99","N/A (N/A/90%)","2,000,000 .. 5,000,000","07:09 (07:09)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"9","LIMBO","Aug 2, 2011","$9.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Playdead","Playdead"
"16","Bastion","Aug 16, 2011","$14.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"42","Dungeon Defenders","Oct 18, 2011","$14.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:05 (00:03)","Chromatic Games","Chromatic Games"
"53","Tropico 4","Sep 1, 2011","$14.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"60","Mafia II (Classic)","Mar 22, 2011","$9.89","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Czech","2K"
"67","Red Orchestra 2: Heroes of Stalingrad with Rising Storm","Sep 13, 2011","$19.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Tripwire Interactive","Tripwire Interactive"
"68","PAYDAY The Heist","Oct 20, 2011","$14.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","OVERKILL Software","Daybreak Game Company"
"76","Alice: Madness Returns","Jun 17, 2011","$19.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:01 (00:00)","Spicy Horse Games","Electronic Arts"
"83","Warhammer 40,000: Space Marine - Anniversary Edition","Sep 5, 2011","$59.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
"92","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Dimensional Ink Games","Daybreak Game Company"
"93","Serious Sam 3: BFE","Nov 22, 2011","$29.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Croteam","Devolver Digital"
"109","Homefront","Mar 14, 2011","$1.99","N/A (N/A/70%)","2,000,000 .. 5,000,000","00:00 (00:00)","Kaos Studios, Digital Extremes","Deep Silver"
"126","Spiral Knights","Jun 14, 2011","Free","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Grey Havens","Grey Havens"
"131","The Tiny Bang Story","Apr 22, 2011","$4.99","N/A (N/A/63%)","2,000,000 .. 5,000,000","00:00 (00:00)","Colibri Games","Colibri Games"
"311","Warhammer 40,000: Dawn of War II: Retribution","Feb 28, 2011","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)"
"314","Call of Duty: Modern Warfare 3 (2011)","Nov 8, 2011","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Infinity Ward, Sledgehammer Games","Activision"
