"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"28","Counter-Strike: Global Offensive","Aug 21, 2012","Free","N/A (N/A/83%)","100,000,000 .. 200,000,000","10:21 (04:24)","Valve","Valve"
"6","Borderlands 2","Sep 17, 2012","$19.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","02:44 (04:28)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"64","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","10,000,000 .. 20,000,000","05:39 (02:11)","SCS Software","SCS Software"
"159","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","03:47 (03:46)","MY.GAMES","MY.GAMES"
"21","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","5,000,000 .. 10,000,000","10:34 (10:33)","Rogue Planet Games","Daybreak Game Company"
"63","Chivalry: Medieval Warfare","Oct 16, 2012","$24.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","00:00 (00:00)","Torn Banner Studios","Torn Banner Studios"
"414","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","02:41 (03:19)","The Behemoth","The Behemoth"
"2","Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:24 (00:23)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"3","Dishonored","Oct 8, 2012","$2.49","N/A (N/A/91%)","2,000,000 .. 5,000,000","05:00 (05:00)","Arkane Studios","Bethesda Softworks"
"5","XCOM: Enemy Unknown","Oct 8, 2012","$29.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:00 (00:00)","Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)"
"9","Torchlight II","Sep 20, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:10 (01:05)","Runic Games","Gearbox Publishing"
"10","The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:18 (00:09)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
