"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"7","Dota 2","Jul 9, 2013","Free","N/A (N/A/90%)","200,000,000 .. 500,000,000","22:12 (12:14)","Valve","Valve"
"16","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","10:45 (02:56)","Grinding Gear Games","Grinding Gear Games"
"47","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","17:04 (10:31)","Gaijin Entertainment","Gaijin Distribution KFT"
"71","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","20,000,000 .. 50,000,000","135:42 (124:01)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"163","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","10,000,000 .. 20,000,000","14:57 (05:07)","Digital Extremes","Digital Extremes"
"561","Project Zomboid","Nov 8, 2013","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","13:06 (04:40)","The Indie Stone","The Indie Stone"
"562","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","13:09 (06:02)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"12","Europa Universalis IV","Aug 13, 2013","$39.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","38:21 (35:45)","Paradox Development Studio, Paradox Tinto","Paradox Interactive"
"59","Company of Heroes 2","Jun 25, 2013","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","06:19 (10:44)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"117","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","04:27 (05:45)","Cryptic Studios","Gearbox Publishing"
"119","Arma 3","Sep 12, 2013","$5.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","08:56 (05:20)","Bohemia Interactive","Bohemia Interactive"
"303","Cry of Fear","Apr 25, 2013","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:25 (00:12)","Team Psykskallar","Team Psykskallar"
"1","BioShock Infinite","Mar 25, 2013","$29.99","N/A (N/A/94%)","2,000,000 .. 5,000,000","12:21 (06:10)","Irrational Games, Virtual Programming (Linux)","2K"
"4","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:00 (00:00)","Eidos Montreal","Eidos Interactive Corp."
"15","Saints Row IV: Re-Elected","Aug 19, 2013","$19.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","07:27 (03:43)","Deep Silver Volition","Deep Silver"
