"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"445","Serena","Jan 30, 2014","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Senscape","Senscape"
"1518","The Sims 4","Sep 2, 2014","Free","N/A (N/A)","10,000,000 .. 20,000,000","25:08 (05:48)","Maxis","Electronic Arts"
"16","BattleBlock Theater","May 15, 2014","$14.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","00:50 (00:37)","The Behemoth","The Behemoth"
"21","Middle-earth: Shadow of Mordor","Sep 30, 2014","$19.99","N/A (N/A/84%)","5,000,000 .. 10,000,000","05:11 (05:11)","Monolith Productions","Warner Bros. Interactive Entertainment, Warner Bros. Games"
"54","Guacamelee! Super Turbo Championship Edition","Aug 21, 2014","$14.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"137","A Story About My Uncle","May 28, 2014","$2.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","00:00 (00:00)","Gone North Games","Coffee Stain Publishing"
"152","Loadout","Jan 31, 2014","N/A","N/A (N/A/72%)","5,000,000 .. 10,000,000","00:00 (00:00)","Edge of Reality","Edge of Reality"
"456","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","02:03 (01:01)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"457","Counter-Strike Nexon: Studio","Oct 7, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:19 (00:19)","Valve, NEXON","NEXON"
"1451","Braveland","Mar 17, 2014","$7.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"1519","The Binding of Isaac: Rebirth","Nov 4, 2014","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","04:23 (02:10)","Nicalis, Inc., Edmund McMillen","Nicalis, Inc."
"1520","Geometry Dash","Dec 22, 2014","$3.99","N/A (N/A)","5,000,000 .. 10,000,000","02:32 (00:41)","RobTop Games","RobTop Games"
"17","Assetto Corsa","Dec 19, 2014","$19.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","05:42 (03:50)","Kunos Simulazioni","Kunos Simulazioni"
"29","FINAL FANTASY XIV Online","Feb 18, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","17:10 (23:38)","Square Enix","Square Enix"
"30","METAL GEAR RISING: REVENGEANCE","Jan 9, 2014","$29.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","09:42 (04:51)","PlatinumGames","KONAMI"
"31","This War of Mine","Nov 14, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","06:21 (01:25)","11 bit studios","11 bit studios"
"44","Wolfenstein: The New Order","May 19, 2014","$19.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","MachineGames","Bethesda Softworks"
"45","Alien: Isolation","Oct 6, 2014","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:36 (00:22)","Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"58","Far Cry 4","Nov 2014","$5.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","05:54 (02:57)","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","Ubisoft"
"62","Resident Evil 4 (2005)","Feb 27, 2014","$19.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","Capcom","Capcom"
"76","Five Nights at Freddy's","Aug 19, 2014","$4.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:28 (00:33)","Scott Cawthon","Scott Cawthon"
"99","Metro: Last Light Redux","Aug 25, 2014","$19.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","08:53 (08:50)","4A Games","Deep Silver"
"111","Borderlands: The Pre-Sequel","Oct 13, 2014","$39.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)"
"122","Insurgency","Jan 22, 2014","$14.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:40 (00:20)","New World Interactive","New World Interactive"
"138","Banished","Feb 18, 2014","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:01 (00:00)","Shining Rock Software LLC","Shining Rock Software LLC"
"213","Men of War: Assault Squad 2","May 15, 2014","$29.99","N/A (N/A/68%)","2,000,000 .. 5,000,000","03:12 (03:12)","Digitalmindsoft","Fulqrum Publishing"
"231","Age of Mythology: Extended Edition","May 8, 2014","$29.99","N/A (N/A/66%)","2,000,000 .. 5,000,000","01:16 (00:38)","SkyBox Labs, Ensemble Studios","Xbox Game Studios"
"244","Defiance","Jun 4, 2014","N/A","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"263","Goat Simulator","Apr 1, 2014","$1.99","N/A (N/A/62%)","2,000,000 .. 5,000,000","00:00 (00:00)","Coffee Stain Studios","Coffee Stain Publishing"
"449","GunZ 2: The Second Duel","May 1, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Masangsoft, Inc.","Masangsoft, Inc."
"452","Double Action: Boogaloo","Oct 23, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Double Action Factory","Double Action Factory"
"453","BLOCKADE 3D","Nov 5, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:03 (00:01)","Novalink","Novalink"
"454","World of Guns: Gun Disassembly","May 21, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Noble Empire Corp.","Noble Empire Corp."
"459","Fistful of Frags","May 9, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:30 (00:15)","Fistful of Frags Team","Fistful of Frags Team"
"460","Everlasting Summer","Nov 19, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Soviet Games","Soviet Games"
"1508","Sniper Elite 3","Jun 27, 2014","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:27 (00:18)","Rebellion","Rebellion"
"1512","Hero Siege","Jan 29, 2014","$7.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Panic Art Studios Ltd.","Panic Art Studios Ltd."
