"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6304","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","12:18 (03:17)","KRAFTON, Inc.","KRAFTON, Inc."
"227","ARK: Survival Evolved","Aug 27, 2017","$14.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","11:11 (03:07)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
"1292","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","03:24 (01:38)","Blue Mammoth Games","Ubisoft"
"1293","Unturned","Jul 7, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","58:33 (10:55)","Smartly Dressed Games","Smartly Dressed Games"
"16","Hollow Knight","Feb 24, 2017","$14.99","N/A (N/A/87%)","10,000,000 .. 20,000,000","02:26 (00:48)","Team Cherry","Team Cherry"
"71","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","13:35 (10:57)","Wargaming Group Limited","Wargaming Group Limited"
"1288","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:06 (00:03)","Freejam","Freejam"
"1289","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","20:45 (12:05)","VRChat Inc.","VRChat Inc."
"1","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","03:21 (02:22)","Larian Studios","Larian Studios"
"15","Total War: WARHAMMER II","Sep 28, 2017","$59.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","11:22 (11:02)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"91","The Elder Scrolls Online","May 22, 2017","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","02:20 (02:02)","ZeniMax Online Studios","Bethesda Softworks"
"150","FOR HONOR","Feb 13, 2017","$14.99","N/A (N/A/76%)","5,000,000 .. 10,000,000","18:21 (14:03)","Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte","Ubisoft"
"285","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","12:10 (14:11)","Bethesda Game Studios","Bethesda Softworks"
"1285","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","04:14 (04:18)","8Floor","8Floor"
"1287","Deceit","Mar 3, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","World Makers","World Makers"
"1290","SCP: Secret Laboratory","Dec 29, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","10:25 (13:46)","Northwood Studios","Northwood Studios"
"1291","Doki Doki Literature Club!","Sep 22, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Team Salvato","Team Salvato"
"6158","Gene Shift Auto","May 23, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Nik Nak Studios","Nik Nak Studios"
"11","Cuphead","Sep 29, 2017","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:06 (02:39)","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc."
"27","Battlerite","Nov 8, 2017","Free","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:33 (00:29)","Stunlock Studios","Stunlock Studios"
"38","Nioh: Complete Edition","Nov 7, 2017","$49.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"39","NieR:Automata","Mar 17, 2017","$39.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","03:55 (03:54)","Square Enix, PlatinumGames Inc.","Square Enix"
"49","Hellblade: Senua's Sacrifice","Aug 8, 2017","$29.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","02:37 (01:18)","Ninja Theory","Ninja Theory"
"50","Resident Evil 7 Biohazard","Jan 23, 2017","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"56","TEKKEN 7","Jun 1, 2017","$9.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","06:33 (00:25)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"70","Little Nightmares","Apr 27, 2017","$19.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:26 (00:26)","Tarsier Studios","BANDAI NAMCO Entertainment"
"72","Slime Rancher","Aug 1, 2017","$19.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Monomi Park","Monomi Park"
"90","Black Desert","May 24, 2017","$9.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","52:56 (113:15)","Pearl Abyss","Pearl Abyss"
"120","Sniper Elite 4","Feb 13, 2017","$59.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","06:33 (06:38)","Rebellion","Rebellion"
"134","Life is Strange: Before the Storm","Aug 31, 2017","$16.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"166","The Escapists 2","Aug 21, 2017","$19.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","05:02 (02:31)","Team17, Mouldy Toof Studios","Team17"
"201","Albion Online","Jul 17, 2017","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","42:38 (59:01)","Sandbox Interactive GmbH","Sandbox Interactive GmbH"
