"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"13","Apex Legends","Nov 4, 2020","Free","N/A (N/A/88%)","50,000,000 .. 100,000,000","10:34 (04:48)","Respawn Entertainment","Electronic Arts"
"21","Cyberpunk 2077","Dec 9, 2020","$59.99","N/A (N/A/86%)","20,000,000 .. 50,000,000","09:54 (03:38)","CD PROJEKT RED","CD PROJEKT RED"
"73","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","00:41 (00:34)","Mediatonic","Ravenscourt"
"9376","Phasmophobia","Sep 18, 2020","$13.99","N/A (N/A)","10,000,000 .. 20,000,000","04:32 (01:36)","Kinetic Games","Kinetic Games"
"2","Hades","Sep 17, 2020","$24.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","00:57 (01:16)","Supergiant Games","Supergiant Games"
"7","Grand Theft Auto IV: The Complete Edition","Mar 24, 2020","$5.99","N/A (N/A/90%)","5,000,000 .. 10,000,000","25:22 (95:02)","Rockstar North, Rockstar Toronto","Rockstar Games"
"8","Factorio","Aug 14, 2020","$35","N/A (N/A/90%)","5,000,000 .. 10,000,000","09:22 (07:01)","Wube Software LTD.","Wube Software LTD."
"30","Risk of Rain 2","Aug 11, 2020","$24.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","02:52 (01:43)","Hopoo Games","Gearbox Publishing"
"9372","Battlefield V","Oct 22, 2020","$49.99","N/A (N/A)","5,000,000 .. 10,000,000","03:59 (02:02)","DICE","Electronic Arts"
"9374","Satisfactory","Jun 8, 2020","$16.49","N/A (N/A)","5,000,000 .. 10,000,000","06:14 (07:47)","Coffee Stain Studios","Coffee Stain Publishing"
"9375","Sea of Thieves 2023 Edition","Jun 3, 2020","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","06:51 (05:32)","Rare Ltd","Xbox Game Studios"
"1","Half-Life: Alyx","Mar 23, 2020","$59.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","04:11 (06:05)","Valve","Valve"
"5","Microsoft Flight Simulator 40th Anniversary Edition","Aug 17, 2020","$59.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","07:41 (01:42)","Asobo Studio","Xbox Game Studios"
"6","Crusader Kings III","Sep 1, 2020","$49.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","06:18 (05:27)","Paradox Development Studio","Paradox Interactive"
"11","Ori and the Will of the Wisps","Mar 10, 2020","$29.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:06 (00:08)","Moon Studios GmbH","Xbox Game Studios"
"12","DOOM Eternal","Mar 19, 2020","$39.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:27 (00:33)","id Software","Bethesda Softworks"
"20","Titanfall 2","Jun 18, 2020","$29.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","15:15 (02:26)","Respawn Entertainment","Electronic Arts"
"29","Deep Rock Galactic","May 13, 2020","$29.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","07:40 (03:50)","Ghost Ship Games","Coffee Stain Publishing"
"38","Black Mesa","Mar 6, 2020","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","04:36 (04:27)","Crowbar Collective","Crowbar Collective"
"64","Borderlands 3","Mar 13, 2020","$59.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","18:54 (12:36)","Gearbox Software","2K"
"72","Detroit: Become Human","Jun 18, 2020","$39.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","03:52 (02:54)","Quantic Dream","Quantic Dream"
"120","Resident Evil 3","Apr 2, 2020","$39.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:10 (00:05)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"182","Need for Speed Heat","Jun 4, 2020","$69.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","02:47 (03:14)","Ghost Games","Electronic Arts"
"245","Wolcen: Lords of Mayhem","Feb 13, 2020","$39.99","N/A (N/A/60%)","2,000,000 .. 5,000,000","05:01 (02:30)","WOLCEN Studio","WOLCEN Studio"
"256","Crucible Beta","May 20, 2020","N/A","N/A (N/A/56%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relentless Studios","Amazon Games"
"1789","Spellbreak","Dec 15, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Proletariat, Inc.","Proletariat, Inc."
"1794","Phantasy Star Online 2","Aug 5, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:21 (02:20)","SEGA","SEGA"
"1798","RISK: Global Domination","Feb 19, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:41 (00:52)","SMG Studio","SMG Studio"
"1799","Helltaker","May 11, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:01 (00:01)","vanripper","vanripper"
"9337","NBA 2K21","Sep 4, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"9350","Football Manager 2021","Nov 24, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"9362","Besiege","Feb 18, 2020","$5.09","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Spiderling Studios","Spiderling Studios"
"9365","Golf With Your Friends","May 19, 2020","$4.94","N/A (N/A)","2,000,000 .. 5,000,000","00:51 (01:19)","Blacklight Interactive, Team17","Team17"
"9367","Noita","Oct 15, 2020","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:45 (09:43)","Nolla Games","Nolla Games"
"9368","Fallout 76","Apr 14, 2020","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","18:24 (18:14)","Bethesda Game Studios","Bethesda Softworks"
"9369","ULTRAKILL","Sep 3, 2020","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","07:18 (07:13)","Arsi ""Hakita"" Patala","New Blood Interactive"
"9371","Battlefield 1","Jun 11, 2020","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","15:15 (02:10)","DICE","Electronic Arts"
"15","OMORI","Dec 25, 2020","$19.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","OMOCAT, LLC","OMOCAT, LLC"
"16","Persona 4 Golden","Jun 13, 2020","$19.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","46:35 (23:17)","ATLUS","SEGA"
"27","Control Ultimate Edition","Aug 27, 2020","$39.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","07:54 (06:40)","Remedy Entertainment","505 Games"
"28","Outer Wilds","Jun 18, 2020","$24.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Mobius Digital","Annapurna Interactive"
"37","Spiritfarer: Farewell Edition","Aug 18, 2020","$29.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Thunder Lotus Games","Thunder Lotus Games"
"55","Command & Conquer Remastered Collection","Jun 5, 2020","$19.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","187:35 (93:47)","Petroglyph, Lemon Sky Studios","Electronic Arts"
"63","Ghostrunner","Oct 27, 2020","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:19 (00:14)","One More Level, 3D Realms, Slipgate Ironworks™, All in! Games","505 Games"
"70","KARDS - The WWII Card Game","Apr 15, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","1939 Games","1939 Games"
"71","GWENT: The Witcher Card Game","May 19, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","CD PROJEKT RED","CD PROJEKT RED"
"85","Untitled Goose Game","Sep 23, 2020","$19.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","05:34 (02:47)","House House","Panic"
"105","A Way Out","Jun 18, 2020","$29.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","02:35 (02:23)","Hazelight","Electronic Arts"
"119","Unrailed!","Sep 23, 2020","$19.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Indoor Astronaut","Daedalic Entertainment"
"147","Iron Harvest","Sep 1, 2020","$5.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","KING Art","Prime Matter"
"150","Age of Empires III: Definitive Edition","Oct 15, 2020","Free","N/A (N/A/75%)","1,000,000 .. 2,000,000","05:05 (06:56)","World's Edge, Tantalus Media, Forgotten Empires","Xbox Game Studios"
"162","Darwin Project","Jan 13, 2020","Free","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Scavengers Studio","Scavengers Studio"
"173","DRAGON BALL Z: KAKAROT","Jan 16, 2020","$59.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:00 (00:00)","CyberConnect2 Co. Ltd.","Bandai Namco Entertainment Inc."
"207","State of Decay 2: Juggernaut Edition","Mar 13, 2020","$29.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","04:58 (08:06)","Undead Labs","Xbox Game Studios"
"237","Mafia III: Definitive Edition","May 19, 2020","$9.89","N/A (N/A/62%)","1,000,000 .. 2,000,000","05:11 (02:35)","Hangar 13, Aspyr (Mac)","2K, Aspyr (Mac)"
"843","Ring of Fire: Prologue","Dec 15, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","de Fault, Chard","Far Few Giants"
"1747","Builders of Egypt: Prologue","Mar 2, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Strategy Labs","Strategy Labs, PlayWay S.A., CreativeForge Games"
