"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"190","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","23:54 (11:21)","Amazon Games","Amazon Games"
"799","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","08:52 (05:17)","Iron Gate AB","Coffee Stain Publishing"
"663","Halo Infinite","Nov 15, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","06:02 (02:31)","343 Industries","Xbox Game Studios"
"791","Battlefield 2042","Nov 19, 2021","$59.99","N/A (N/A)","10,000,000 .. 20,000,000","09:36 (05:18)","DICE","Electronic Arts"
"797","NARAKA: BLADEPOINT","Aug 11, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","08:46 (04:32)","24 Entertainment","NetEase Games Global"
"5","It Takes Two","Mar 25, 2021","$39.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","04:59 (06:13)","Hazelight","Electronic Arts"
"662","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","04:42 (02:39)","Wargaming Group Limited","Wargaming Group Limited"
"19","Football Manager 2022","Nov 9, 2021","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","01:36 (00:48)","Sports Interactive","SEGA"
"34","Tales of Arise","Sep 9, 2021","$39.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","06:41 (03:20)","Bandai Namco Studios Inc.","Bandai Namco Entertainment"
"38","Pathfinder: Wrath of the Righteous - Enhanced Edition","Sep 2, 2021","$39.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","26:02 (39:02)","Owlcat Games","META Publishing, Owlcat Games"
"40","Resident Evil Village","May 6, 2021","$39.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","12:29 (14:07)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"61","Age of Empires IV: Anniversary Edition","Oct 28, 2021","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","08:12 (10:34)","Relic Entertainment, Forgotten Empires, Climax Studios, World's Edge","Xbox Game Studios"
"89","Hell Let Loose","Jul 27, 2021","$44.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","01:06 (00:38)","Team17","Team17"
"654","Century: Age of Ashes","Dec 2, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:19 (02:11)","Playwing LTD","Playwing LTD"
"656","Bless Unleashed","Aug 6, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:21 (01:10)","VALOFE","VALOFE"
"658","封灵档案","Mar 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","（Hong Kong）GKD","（Hong Kong）GKD"
"660","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","01:35 (01:12)","FishSoft LLC","FishSoft LLC"
"781","Poppy Playtime","Oct 12, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:55 (00:36)","Mob Entertainment","Mob Entertainment"
"783","Cookie Clicker","Sep 1, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","08:39 (00:29)","Orteil, DashNet","Playsaurus"
"785","DEVOUR","Jan 28, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","01:58 (01:46)","Straight Back Games","Straight Back Games"
"786","Days Gone","May 17, 2021","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","02:58 (01:29)","Bend Studio","PlayStation PC LLC"
"787","Dyson Sphere Program","Jan 20, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","01:30 (02:12)","Youthcat Studio","Gamera Games"
"788","Subnautica: Below Zero","May 13, 2021","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:10 (00:05)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"789","Gunfire Reborn","Nov 17, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","02:08 (01:47)","Duoyi Games","Duoyi Games"
"790","Stumble Guys","Oct 7, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","03:14 (01:56)","Scopely","Scopely"
